

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_003183	TCGA-A1-A0SB	0.0434		814.0556	
brca	NM_003183	TCGA-A1-A0SE	0.0799		704.2369	
brca	NM_003183	TCGA-A1-A0SF	0.0594		572.7756	
brca	NM_003183	TCGA-A1-A0SG	0.0567		723.6072	
brca	NM_003183	TCGA-A1-A0SH	0.0921		845.8194	
brca	NM_003183	TCGA-A1-A0SI	0.0775		796.0565	
brca	NM_003183	TCGA-A1-A0SJ	0.0564		641.9753	
brca	NM_003183	TCGA-A1-A0SK	0.0588		1066.1833	
brca	NM_003183	TCGA-A1-A0SM	0.0836		856.6919	
brca	NM_003183	TCGA-A1-A0SN	0.0999		750.1604	
brca	NM_003183	TCGA-A1-A0SO	0.0535		2689.7458	
brca	NM_003183	TCGA-A1-A0SP	0.0990		1321.7804	
brca	NM_003183	TCGA-A1-A0SQ	0.0414		456.6818	
brca	NM_003183	TCGA-A2-A04R	0.0705		801.9560	
brca	NM_003183	TCGA-A2-A0CK	0.0753		322.8283	
brca	NM_003183	TCGA-A2-A0CO	0.0917		560.2089	
brca	NM_003183	TCGA-A2-A0CR	0.0913		112.8079	
brca	NM_003183	TCGA-A2-A0CT	0.1077		693.5619	
brca	NM_003183	TCGA-A2-A0EN	0.0880		719.5991	
brca	NM_003183	TCGA-A2-A0EP	0.1052		508.6383	
brca	NM_003183	TCGA-A2-A0EU	0.0818		738.6400	
brca	NM_003183	TCGA-A2-A0ST	0.0907		806.7586	
brca	NM_003183	TCGA-A2-A0SU	0.0626		637.5377	
brca	NM_003183	TCGA-A2-A0SV	0.0542		461.0654	
brca	NM_003183	TCGA-A2-A0SW	0.0533		457.5921	
brca	NM_003183	TCGA-A2-A0SX	0.0753		1232.8195	
brca	NM_003183	TCGA-A2-A0SY	0.0893		609.7561	
brca	NM_003183	TCGA-A2-A0T0	0.0472		2177.8733	
brca	NM_003183	TCGA-A2-A0T1	0.0927		857.3109	
brca	NM_003183	TCGA-A2-A0T2	0.0517		996.8792	
brca	NM_003183	TCGA-A2-A0T4	0.0860		534.8951	
brca	NM_003183	TCGA-A2-A0T5	0.0631		816.6317	
brca	NM_003183	TCGA-A2-A0T6	0.0897		770.2539	
brca	NM_003183	TCGA-A2-A0T7	0.0779		982.1622	
brca	NM_003183	TCGA-A2-A0YC	0.0884		823.7472	
brca	NM_003183	TCGA-A2-A0YD	0.1069		980.1111	
brca	NM_003183	TCGA-A2-A0YE	0.0658		1896.7047	
brca	NM_003183	TCGA-A2-A0YF	0.0494		792.2423	
brca	NM_003183	TCGA-A2-A0YG	0.0969		1105.4963	
brca	NM_003183	TCGA-A2-A0YH	0.0866		509.0909	
brca	NM_003183	TCGA-A2-A0YI	0.1024		807.9905	
brca	NM_003183	TCGA-A2-A0YJ	0.0455		3008.9504	
brca	NM_003183	TCGA-A2-A0YK	0.1010		727.8454	
brca	NM_003183	TCGA-A2-A0YL	0.0587		917.4341	
brca	NM_003183	TCGA-A2-A0YM	0.0821		1426.2533	
brca	NM_003183	TCGA-A2-A0YT	0.0559		826.1075	
brca	NM_003183	TCGA-A2-A1FV	0.0785		861.5993	
brca	NM_003183	TCGA-A2-A1FW	0.1021		626.9565	
brca	NM_003183	TCGA-A2-A1FX	0.0768		515.0633	
brca	NM_003183	TCGA-A2-A1FZ	0.0917		952.8341	
brca	NM_003183	TCGA-A2-A1G0	0.0674		699.2110	
brca	NM_003183	TCGA-A2-A1G1	0.1032		2022.4041	
brca	NM_003183	TCGA-A2-A1G4	0.0622		668.1740	
brca	NM_003183	TCGA-A2-A1G6	0.0661		784.5230	
brca	NM_003183	TCGA-A2-A259	0.0682		1196.6147	
brca	NM_003183	TCGA-A2-A25A	0.0879		962.4094	
brca	NM_003183	TCGA-A2-A25B	0.0804		1145.9581	
brca	NM_003183	TCGA-A2-A25C	0.0945		697.6180	
brca	NM_003183	TCGA-A2-A25D	0.0644		428.4082	
brca	NM_003183	TCGA-A2-A25E	0.0676		1126.4150	
brca	NM_003183	TCGA-A2-A25F	0.0985		1242.0809	
brca	NM_003183	TCGA-A2-A3KC	0.0921		763.7138	
brca	NM_003183	TCGA-A2-A3KD	0.0894		688.4182	
brca	NM_003183	TCGA-A2-A3XS	0.0992		846.3559	
brca	NM_003183	TCGA-A2-A3XT	0.0824		477.5035	
brca	NM_003183	TCGA-A2-A3XU	0.0428		252.7352	
brca	NM_003183	TCGA-A2-A3XV	0.0480		180.2151	
brca	NM_003183	TCGA-A2-A3XW	0.0841		263.9972	
brca	NM_003183	TCGA-A2-A3XX	0.0987		652.2149	
brca	NM_003183	TCGA-A2-A3XY	0.0719		1049.4023	
brca	NM_003183	TCGA-A2-A3XZ	0.0748		808.7526	
brca	NM_003183	TCGA-A2-A3Y0	0.0615		951.8970	
brca	NM_003183	TCGA-A2-A4RW	0.0720		871.0654	
brca	NM_003183	TCGA-A2-A4RX	0.0834		955.8916	
brca	NM_003183	TCGA-A2-A4RY	0.0902		702.2638	
brca	NM_003183	TCGA-A2-A4S0	0.0874		431.9812	
brca	NM_003183	TCGA-A2-A4S1	0.0770			
brca	NM_003183	TCGA-A2-A4S2	0.0764		533.7929	
brca	NM_003183	TCGA-A2-A4S3	0.0759		677.2458	
brca	NM_003183	TCGA-A7-A0D9	0.0914	0.0995	726.6365	578.9206
brca	NM_003183	TCGA-A7-A0DC	0.0521	0.0869	624.9137	925.9087
brca	NM_003183	TCGA-A7-A13D	0.0626		1151.6198	
brca	NM_003183	TCGA-A7-A13E	0.0963	0.0981	1744.8489	730.8716
brca	NM_003183	TCGA-A7-A13F	0.0520	0.0920	653.8153	697.3507
brca	NM_003183	TCGA-A7-A13G	0.0575	0.1018	529.7639	569.7438
brca	NM_003183	TCGA-A7-A13H	0.0918		664.9078	
brca	NM_003183	TCGA-A7-A26E	0.1058		849.7478	
brca	NM_003183	TCGA-A7-A26F	0.0891		1908.1694	
brca	NM_003183	TCGA-A7-A26G	0.0801		836.4438	
brca	NM_003183	TCGA-A7-A26H	0.0595		808.3551	
brca	NM_003183	TCGA-A7-A26I	0.0896		1594.7441	
brca	NM_003183	TCGA-A7-A26J	0.1202		936.4577	
brca	NM_003183	TCGA-A7-A2KD	0.1029		824.1810	
brca	NM_003183	TCGA-A7-A3IY	0.0858		432.7825	
brca	NM_003183	TCGA-A7-A3IZ	0.1043		344.5008	
brca	NM_003183	TCGA-A7-A3J0	0.0656		539.1170	
brca	NM_003183	TCGA-A7-A3J1	0.0869		695.4036	
brca	NM_003183	TCGA-A7-A3RF	0.0608		233.3532	
brca	NM_003183	TCGA-A7-A425	0.1014		343.0212	
brca	NM_003183	TCGA-A7-A426	0.0914		488.6301	
brca	NM_003183	TCGA-A7-A4SA	0.0945		518.5492	
brca	NM_003183	TCGA-A7-A4SB	0.0937		426.8282	
brca	NM_003183	TCGA-A7-A4SC	0.0714		789.5150	
brca	NM_003183	TCGA-A7-A4SD	0.0931		1231.8408	
brca	NM_003183	TCGA-A7-A4SE	0.0812		1194.2574	
brca	NM_003183	TCGA-A7-A4SF	0.0618		362.3981	
brca	NM_003183	TCGA-A7-A5ZV	0.1060		753.4854	
brca	NM_003183	TCGA-A7-A5ZW	0.0889		660.6365	
brca	NM_003183	TCGA-A7-A5ZX	0.0612		681.3299	
brca	NM_003183	TCGA-A7-A6VV	0.0738		753.9912	
brca	NM_003183	TCGA-A7-A6VW	0.0997		434.9668	
brca	NM_003183	TCGA-A7-A6VX	0.0632		527.2449	
brca	NM_003183	TCGA-A7-A6VY	0.0651		661.7088	
brca	NM_003183	TCGA-A8-A075	0.0544		538.1857	
brca	NM_003183	TCGA-A8-A08O	0.0760		696.8656	
brca	NM_003183	TCGA-A8-A0A6	0.0676		714.4567	
brca	NM_003183	TCGA-A8-A0AD	0.0476		688.4532	
brca	NM_003183	TCGA-AC-A23C	0.0911		894.2698	
brca	NM_003183	TCGA-AC-A23E	0.0681		868.8474	
brca	NM_003183	TCGA-AC-A23G	0.1053		666.4244	
brca	NM_003183	TCGA-AC-A23H	0.1682	0.1638	1016.1422	902.4063
brca	NM_003183	TCGA-AC-A2B8	0.0691		792.6430	
brca	NM_003183	TCGA-AC-A2BK	0.0927		1600.5756	
brca	NM_003183	TCGA-AC-A2BM	0.0607		536.8294	
brca	NM_003183	TCGA-AC-A2FB	0.0949	0.0992	897.6416	722.2398
brca	NM_003183	TCGA-AC-A2FE	0.0935		623.1918	
brca	NM_003183	TCGA-AC-A2FF	0.0991	0.0765	806.1192	1076.9966
brca	NM_003183	TCGA-AC-A2FG	0.0647	0.0900	790.8785	
brca	NM_003183	TCGA-AC-A2FK	0.0944		1068.9196	
brca	NM_003183	TCGA-AC-A2FM	0.1100	0.0807	365.8537	393.9641
brca	NM_003183	TCGA-AC-A2FO	0.1025		631.4973	
brca	NM_003183	TCGA-AC-A2QH	0.0352		1049.4641	
brca	NM_003183	TCGA-AC-A2QI	0.0803		695.1549	
brca	NM_003183	TCGA-AC-A2QJ	0.0756		116.2654	
brca	NM_003183	TCGA-AC-A3BB	0.0754		440.8651	
brca	NM_003183	TCGA-AC-A3EH	0.1029		348.3068	
brca	NM_003183	TCGA-AC-A3HN	0.0938		618.8734	
brca	NM_003183	TCGA-AC-A3OD	0.0837		886.7774	
brca	NM_003183	TCGA-AC-A3QP	0.0886		299.9618	
brca	NM_003183	TCGA-AC-A3QQ	0.0946		90.7731	
brca	NM_003183	TCGA-AC-A3TM	0.0669		79.4494	
brca	NM_003183	TCGA-AC-A3TN	0.0499		155.2306	
brca	NM_003183	TCGA-AC-A3W5	0.0872		659.3994	
brca	NM_003183	TCGA-AC-A3W6	0.0839		410.6321	
brca	NM_003183	TCGA-AC-A3W7	0.0740		497.7525	
brca	NM_003183	TCGA-AC-A3YI	0.0934		768.8434	
brca	NM_003183	TCGA-AC-A3YJ	0.0598		191.0935	
brca	NM_003183	TCGA-AC-A5EH	0.0546		591.3402	
brca	NM_003183	TCGA-AC-A5XS	0.0718		298.7030	
brca	NM_003183	TCGA-AC-A5XU	0.0746		451.3997	
brca	NM_003183	TCGA-AC-A62V	0.0725		177.6391	
brca	NM_003183	TCGA-AC-A62X	0.0824		1176.2257	
brca	NM_003183	TCGA-AC-A62Y	0.0604		472.5999	
brca	NM_003183	TCGA-AC-A6IV	0.0983		702.5231	
brca	NM_003183	TCGA-AC-A6IW	0.0928		670.5703	
brca	NM_003183	TCGA-AC-A6IX	0.0869		467.9050	
brca	NM_003183	TCGA-AC-A6NO	0.0560		444.8399	
brca	NM_003183	TCGA-AC-A7VB	0.0581			
brca	NM_003183	TCGA-AC-A7VC	0.0453			
brca	NM_003183	TCGA-AC-A8OP	0.0569			
brca	NM_003183	TCGA-AN-A0XL	0.0984		753.4000	
brca	NM_003183	TCGA-AN-A0XN	0.0703		899.6264	
brca	NM_003183	TCGA-AN-A0XO	0.0659		788.0037	
brca	NM_003183	TCGA-AN-A0XP	0.0962		679.4212	
brca	NM_003183	TCGA-AN-A0XR	0.0882		428.6895	
brca	NM_003183	TCGA-AN-A0XS	0.0649		635.5569	
brca	NM_003183	TCGA-AN-A0XT	0.0544		676.0138	
brca	NM_003183	TCGA-AN-A0XU	0.1014		2109.5796	
brca	NM_003183	TCGA-AN-A0XV	0.0525		650.2789	
brca	NM_003183	TCGA-AN-A0XW	0.0622		765.9988	
brca	NM_003183	TCGA-AO-A03L	0.1077		653.4953	
brca	NM_003183	TCGA-AO-A03M	0.0950		641.7212	
brca	NM_003183	TCGA-AO-A03N	0.0605		195.7937	
brca	NM_003183	TCGA-AO-A03U	0.0610		1135.7949	
brca	NM_003183	TCGA-AO-A0JA	0.0621		994.1748	
brca	NM_003183	TCGA-AO-A0JB	0.1014		203.8304	
