

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_003183	TCGA-AO-A0JC	0.1044		609.4571	
brca	NM_003183	TCGA-AO-A0JD	0.0940		678.3934	
brca	NM_003183	TCGA-AO-A0JE	0.0649		1121.2982	
brca	NM_003183	TCGA-AO-A0JF	0.0640		883.1668	
brca	NM_003183	TCGA-AO-A0JG	0.0783		712.6683	
brca	NM_003183	TCGA-AO-A0JI	0.0761		537.2965	
brca	NM_003183	TCGA-AO-A0JJ	0.0810		700.0360	
brca	NM_003183	TCGA-AO-A0JL	0.0835		243.9185	
brca	NM_003183	TCGA-AO-A0JM	0.0619		668.8453	
brca	NM_003183	TCGA-AO-A124	0.0413		1189.3207	
brca	NM_003183	TCGA-AO-A125	0.0364		378.4442	
brca	NM_003183	TCGA-AO-A126	0.0833		337.0831	
brca	NM_003183	TCGA-AO-A128	0.0957		853.4600	
brca	NM_003183	TCGA-AO-A129	0.0811		605.4054	
brca	NM_003183	TCGA-AO-A12B	0.0904		340.8394	
brca	NM_003183	TCGA-AO-A12C	0.0531		1006.3870	
brca	NM_003183	TCGA-AO-A12E	0.1051		652.4590	
brca	NM_003183	TCGA-AO-A12G	0.0597		796.8000	
brca	NM_003183	TCGA-AO-A1KO	0.0788		1114.4196	
brca	NM_003183	TCGA-AO-A1KP	0.0874		555.7117	
brca	NM_003183	TCGA-AO-A1KQ	0.0829		430.7842	
brca	NM_003183	TCGA-AO-A1KR	0.0809		270.9030	
brca	NM_003183	TCGA-AO-A1KS	0.0630		870.8585	
brca	NM_003183	TCGA-AO-A1KT	0.0502		434.1551	
brca	NM_003183	TCGA-AQ-A04H	0.0968		676.1681	
brca	NM_003183	TCGA-AQ-A04L	0.0590		455.1938	
brca	NM_003183	TCGA-AQ-A0Y5	0.0636		677.4336	
brca	NM_003183	TCGA-AQ-A1H2	0.0363		547.1651	
brca	NM_003183	TCGA-AQ-A1H3	0.0846		725.2240	
brca	NM_003183	TCGA-AQ-A54N	0.0777		250.1910	
brca	NM_003183	TCGA-AQ-A54O	0.0640		92.0688	
brca	NM_003183	TCGA-AQ-A7U7	0.0950			
brca	NM_003183	TCGA-AR-A0TP	0.0508		982.6213	
brca	NM_003183	TCGA-AR-A0TQ	0.1054		724.9589	
brca	NM_003183	TCGA-AR-A0TR	0.0361		508.1112	
brca	NM_003183	TCGA-AR-A0TT	0.0912		901.7129	
brca	NM_003183	TCGA-AR-A0TU	0.1040		786.9776	
brca	NM_003183	TCGA-AR-A0TV	0.0441		439.5389	
brca	NM_003183	TCGA-AR-A0TW	0.0708		410.5427	
brca	NM_003183	TCGA-AR-A0TX	0.0881		801.6920	
brca	NM_003183	TCGA-AR-A0TZ	0.1030		630.0550	
brca	NM_003183	TCGA-AR-A0U0	0.0608		1362.8180	
brca	NM_003183	TCGA-AR-A0U2	0.0645		565.0050	
brca	NM_003183	TCGA-AR-A0U3	0.0383		853.3942	
brca	NM_003183	TCGA-AR-A0U4	0.0929		851.9409	
brca	NM_003183	TCGA-AR-A1AI	0.0847		2025.5276	
brca	NM_003183	TCGA-AR-A1AJ	0.0708		1311.9078	
brca	NM_003183	TCGA-AR-A1AK	0.0886		698.2997	
brca	NM_003183	TCGA-AR-A1AL	0.0617		1022.7436	
brca	NM_003183	TCGA-AR-A1AM	0.0794		571.1438	
brca	NM_003183	TCGA-AR-A1AN	0.0681		492.3861	
brca	NM_003183	TCGA-AR-A1AO	0.0883		871.6222	
brca	NM_003183	TCGA-AR-A1AP	0.0593		747.1885	
brca	NM_003183	TCGA-AR-A1AQ	0.0885		915.8058	
brca	NM_003183	TCGA-AR-A1AR	0.0804		1375.1854	
brca	NM_003183	TCGA-AR-A1AS	0.0472		709.5903	
brca	NM_003183	TCGA-AR-A1AT	0.0790		1011.9233	
brca	NM_003183	TCGA-AR-A1AU	0.0518		899.6716	
brca	NM_003183	TCGA-AR-A1AV	0.0679		597.7236	
brca	NM_003183	TCGA-AR-A1AW	0.1128		858.8725	
brca	NM_003183	TCGA-AR-A1AX	0.0879		769.7543	
brca	NM_003183	TCGA-AR-A1AY	0.0656		739.2303	
brca	NM_003183	TCGA-AR-A24H	0.0573		1061.3625	
brca	NM_003183	TCGA-AR-A24K	0.0486		637.2722	
brca	NM_003183	TCGA-AR-A24L	0.0665		1005.2233	
brca	NM_003183	TCGA-AR-A24M	0.0594		880.7907	
brca	NM_003183	TCGA-AR-A24N	0.0908		573.3099	
brca	NM_003183	TCGA-AR-A24O	0.0803		917.1758	
brca	NM_003183	TCGA-AR-A24P	0.0865		917.6913	
brca	NM_003183	TCGA-AR-A24Q	0.0687		823.2897	
brca	NM_003183	TCGA-AR-A24R	0.0648		584.1990	
brca	NM_003183	TCGA-AR-A24S	0.0657		1295.2952	
brca	NM_003183	TCGA-AR-A24T	0.1072		1151.1394	
brca	NM_003183	TCGA-AR-A24U	0.0873		804.3861	
brca	NM_003183	TCGA-AR-A24V	0.0869		866.7580	
brca	NM_003183	TCGA-AR-A24W	0.0821		853.1032	
brca	NM_003183	TCGA-AR-A24X	0.0999		800.1257	
brca	NM_003183	TCGA-AR-A24Z	0.0650		795.2386	
brca	NM_003183	TCGA-AR-A250	0.0661		993.1015	
brca	NM_003183	TCGA-AR-A251	0.0698		1456.2996	
brca	NM_003183	TCGA-AR-A252	0.0953		938.0741	
brca	NM_003183	TCGA-AR-A254	0.0650		991.6443	
brca	NM_003183	TCGA-AR-A255	0.1022		953.1347	
brca	NM_003183	TCGA-AR-A256	0.0453		1510.4668	
brca	NM_003183	TCGA-AR-A2LE	0.0633		1028.9421	
brca	NM_003183	TCGA-AR-A2LH	0.0922		699.7897	
brca	NM_003183	TCGA-AR-A2LJ	0.0833		230.4020	
brca	NM_003183	TCGA-AR-A2LK	0.0976		913.8853	
brca	NM_003183	TCGA-AR-A2LL	0.0786		994.9458	
brca	NM_003183	TCGA-AR-A2LM	0.0765		855.2081	
brca	NM_003183	TCGA-AR-A2LN	0.1065		672.5073	
brca	NM_003183	TCGA-AR-A2LO	0.0932		848.9985	
brca	NM_003183	TCGA-AR-A2LQ	0.0946		756.7913	
brca	NM_003183	TCGA-AR-A2LR	0.0524		1459.4606	
brca	NM_003183	TCGA-AR-A5QN	0.0861		731.5965	
brca	NM_003183	TCGA-AR-A5QP	0.0850		457.4980	
brca	NM_003183	TCGA-AR-A5QQ	0.0748		557.8738	
brca	NM_003183	TCGA-B6-A0I1	0.0448		506.6279	
brca	NM_003183	TCGA-B6-A0IK	0.0960		832.9480	
brca	NM_003183	TCGA-B6-A0RE	0.0649		1398.2830	
brca	NM_003183	TCGA-B6-A0RG	0.0677		640.7667	
brca	NM_003183	TCGA-B6-A0RI	0.0549		810.7062	
brca	NM_003183	TCGA-B6-A0RL	0.0620		498.7692	
brca	NM_003183	TCGA-B6-A0RM	0.0475		669.6250	
brca	NM_003183	TCGA-B6-A0RN	0.0448		544.8885	
brca	NM_003183	TCGA-B6-A0RO	0.0810		578.6916	
brca	NM_003183	TCGA-B6-A0RP	0.1070		732.9103	
brca	NM_003183	TCGA-B6-A0RS	0.0599		803.3460	
brca	NM_003183	TCGA-B6-A0RT	0.0972		577.6506	
brca	NM_003183	TCGA-B6-A0RU	0.0721		824.6098	
brca	NM_003183	TCGA-B6-A0RV	0.0775		665.7258	
brca	NM_003183	TCGA-B6-A0WT	0.0662		775.0155	
brca	NM_003183	TCGA-B6-A0WV	0.0723		709.8516	
brca	NM_003183	TCGA-B6-A0WW	0.0922		729.6990	
brca	NM_003183	TCGA-B6-A0WX	0.0977		906.7388	
brca	NM_003183	TCGA-B6-A0WY	0.0666		1011.5237	
brca	NM_003183	TCGA-B6-A0WZ	0.0591		517.6002	
brca	NM_003183	TCGA-B6-A0X1	0.0717		1397.4725	
brca	NM_003183	TCGA-B6-A0X4	0.0742		324.6753	
brca	NM_003183	TCGA-B6-A0X5	0.0502		463.1923	
brca	NM_003183	TCGA-B6-A0X7	0.0853		635.0841	
brca	NM_003183	TCGA-B6-A1KC	0.1600		674.7260	
brca	NM_003183	TCGA-B6-A1KF	0.1058		1291.8196	
brca	NM_003183	TCGA-B6-A1KI	0.0696		695.4225	
brca	NM_003183	TCGA-B6-A1KN	0.0872		1046.0507	
brca	NM_003183	TCGA-B6-A2IU	0.0924		590.9418	
brca	NM_003183	TCGA-B6-A3ZX	0.0848		681.6795	
brca	NM_003183	TCGA-B6-A400	0.0677		697.9944	
brca	NM_003183	TCGA-B6-A401	0.0811		429.6955	
brca	NM_003183	TCGA-B6-A402	0.0838		1074.1646	
brca	NM_003183	TCGA-B6-A408	0.0925		388.9863	
brca	NM_003183	TCGA-B6-A409	0.0846		648.0127	
brca	NM_003183	TCGA-B6-A40B	0.0626		310.6733	
brca	NM_003183	TCGA-B6-A40C	0.0587		512.5532	
brca	NM_003183	TCGA-BH-A0AU	0.0584	0.0754	869.1336	787.1502
brca	NM_003183	TCGA-BH-A0AW	0.0693		602.7165	
brca	NM_003183	TCGA-BH-A0AZ	0.0709	0.0744	773.8380	1093.6523
brca	NM_003183	TCGA-BH-A0B2	0.0797	0.0869	761.2116	971.4404
brca	NM_003183	TCGA-BH-A0B3	0.0622	0.0811	1863.1346	808.5874
brca	NM_003183	TCGA-BH-A0B5	0.0702		743.8292	434.5754
brca	NM_003183	TCGA-BH-A0B6	0.0809		491.7272	
brca	NM_003183	TCGA-BH-A0B8	0.0499	0.0976	652.9398	570.2016
brca	NM_003183	TCGA-BH-A0B9	0.0848		1233.5424	
brca	NM_003183	TCGA-BH-A0BA	0.0957	0.0968	606.9746	725.8883
brca	NM_003183	TCGA-BH-A0BC	0.0619	0.0790	707.1277	958.5043
brca	NM_003183	TCGA-BH-A0BF	0.0723	0.0700	740.0559	
brca	NM_003183	TCGA-BH-A0BJ	0.0947	0.0962	708.3296	864.7876
brca	NM_003183	TCGA-BH-A0BM	0.0783	0.0867	523.5669	819.5754
brca	NM_003183	TCGA-BH-A0BS	0.0478	0.0884	705.6187	821.1795
brca	NM_003183	TCGA-BH-A0BT	0.0601	0.0846	446.3652	979.0905
brca	NM_003183	TCGA-BH-A0BZ	0.1008	0.0929	604.1211	753.8587
brca	NM_003183	TCGA-BH-A0C0	0.0787	0.0825	1005.0251	776.5398
brca	NM_003183	TCGA-BH-A0C3	0.0767	0.0660	838.4095	706.8338
brca	NM_003183	TCGA-BH-A0DD	0.0475		726.8908	683.4345
brca	NM_003183	TCGA-BH-A0DG	0.0725	0.0737	828.8064	993.1445
brca	NM_003183	TCGA-BH-A0DH	0.0719	0.0882	650.7339	421.9144
brca	NM_003183	TCGA-BH-A0DI	0.0793	0.0846	812.0770	
brca	NM_003183	TCGA-BH-A0DK	0.0956	0.0898	648.5149	1074.1093
brca	NM_003183	TCGA-BH-A0DP	0.0851	0.0738	744.9636	892.5452
brca	NM_003183	TCGA-BH-A0DQ	0.0612	0.0877	651.8186	893.8855
brca	NM_003183	TCGA-BH-A0DS	0.0557		388.3821	
brca	NM_003183	TCGA-BH-A0DV	0.0819	0.0564	778.8111	1508.2891
brca	NM_003183	TCGA-BH-A0E0	0.0630	0.0764	1446.6790	658.9800
brca	NM_003183	TCGA-BH-A0E1	0.0785	0.0878	562.6152	909.3582
brca	NM_003183	TCGA-BH-A0E2	0.0691		588.3046	
brca	NM_003183	TCGA-BH-A0GY	0.0863		1145.6267	
brca	NM_003183	TCGA-BH-A0GZ	0.0546		449.0753	
brca	NM_003183	TCGA-BH-A0H0	0.0806		673.0808	
brca	NM_003183	TCGA-BH-A0H3	0.0712		880.2840	
brca	NM_003183	TCGA-BH-A0H6	0.0620		834.5499	
brca	NM_003183	TCGA-BH-A0H7	0.0843	0.0929	516.4150	519.7216
brca	NM_003183	TCGA-BH-A0H9	0.0745	0.1201	943.7983	
brca	NM_003183	TCGA-BH-A0HA	0.0637	0.0818	446.2484	932.2790
brca	NM_003183	TCGA-BH-A0HB	0.0774		518.4122	
brca	NM_003183	TCGA-BH-A0HF	0.0720		893.6259	
brca	NM_003183	TCGA-BH-A0HI	0.0695		542.9451	
brca	NM_003183	TCGA-BH-A0HK	0.0487	0.0931	684.9315	958.8852
brca	NM_003183	TCGA-BH-A0HN	0.0493		200.1958	
brca	NM_003183	TCGA-BH-A0HP	0.0850		681.6865	
brca	NM_003183	TCGA-BH-A0HX	0.0809		708.0355	
brca	NM_003183	TCGA-BH-A0HY	0.0739		961.7647	
brca	NM_003183	TCGA-BH-A0RX	0.0795		947.5570	
brca	NM_003183	TCGA-BH-A0W3	0.0414		659.6399	
brca	NM_003183	TCGA-BH-A0W4	0.0685		847.9841	
brca	NM_003183	TCGA-BH-A0W5	0.0830		668.2264	
brca	NM_003183	TCGA-BH-A0WA	0.0682		2113.7124	
brca	NM_003183	TCGA-BH-A18V	0.0915		555.1732	249.0559
brca	NM_003183	TCGA-BH-A1EN	0.0371	0.0916	543.6275	655.1622
brca	NM_003183	TCGA-BH-A1EO	0.1042	0.1022	1264.6187	694.6638
brca	NM_003183	TCGA-BH-A1ES	0.0948	0.0814	508.2793	
brca	NM_003183	TCGA-BH-A1ET	0.0574	0.0879	751.7356	926.3507
brca	NM_003183	TCGA-BH-A1EU	0.0740	0.0820	799.4219	935.4244
brca	NM_003183	TCGA-BH-A1EV	0.0712	0.0837	844.4746	1083.9281
brca	NM_003183	TCGA-BH-A1EW	0.1057	0.0866	1038.1021	954.5937
brca	NM_003183	TCGA-BH-A1EX	0.0789		705.6602	
brca	NM_003183	TCGA-BH-A1EY	0.0852	0.0840	498.3281	
brca	NM_003183	TCGA-BH-A1F0	0.0899	0.0911	1505.9684	703.1824
brca	NM_003183	TCGA-BH-A1F2	0.0859	0.0804	1158.9808	695.6522
brca	NM_003183	TCGA-BH-A1F5	0.0484	0.0763	822.7708	
brca	NM_003183	TCGA-BH-A1F6	0.0767	0.0966	1459.6888	1029.6014
brca	NM_003183	TCGA-BH-A1F8	0.0440	0.0929	1395.8333	885.8290
brca	NM_003183	TCGA-BH-A1FB	0.0819	0.0848	930.4373	861.9228
brca	NM_003183	TCGA-BH-A1FC	0.1094	0.0935	1282.8246	726.6272
brca	NM_003183	TCGA-BH-A1FD	0.0566	0.0916	933.2947	732.2161
brca	NM_003183	TCGA-BH-A1FE	0.0852	0.0787	1297.3638	1078.5889
brca	NM_003183	TCGA-BH-A1FG	0.0708	0.0785	875.8194	496.0201
brca	NM_003183	TCGA-BH-A1FH	0.0822	0.0931	909.6679	935.5828
brca	NM_003183	TCGA-BH-A1FJ	0.0535	0.0822	693.1625	1164.3300
brca	NM_003183	TCGA-BH-A1FL	0.0679		724.7957	
brca	NM_003183	TCGA-BH-A1FM	0.0530	0.0867	711.1917	876.8796
brca	NM_003183	TCGA-BH-A1FN	0.0483	0.0797	1438.7615	709.9382
brca	NM_003183	TCGA-BH-A1FR	0.1048	0.0895	641.2139	881.7585
brca	NM_003183	TCGA-BH-A1FU	0.0962		1030.7491	995.2805
brca	NM_003183	TCGA-BH-A201	0.0700		835.5965	
brca	NM_003183	TCGA-BH-A202	0.0747		869.5913	
brca	NM_003183	TCGA-BH-A203	0.0746	0.0991	645.6354	821.3752
brca	NM_003183	TCGA-BH-A204	0.1030	0.1832	765.4069	681.6248
brca	NM_003183	TCGA-BH-A208	0.0753	0.1563	809.6743	954.9718
brca	NM_003183	TCGA-BH-A209	0.1589	0.1789	839.0056	855.2752
brca	NM_003183	TCGA-BH-A28O	0.0740		629.9485	
brca	NM_003183	TCGA-BH-A28Q	0.1047		764.5427	
brca	NM_003183	TCGA-BH-A2L8	0.0899		503.2408	
brca	NM_003183	TCGA-BH-A42T	0.0743		461.7959	
brca	NM_003183	TCGA-BH-A42U	0.0786		310.2831	
brca	NM_003183	TCGA-BH-A42V	0.0769		541.1148	
brca	NM_003183	TCGA-BH-A6R8	0.0838		349.4610	
brca	NM_003183	TCGA-BH-A6R9	0.1074		802.5244	
brca	NM_003183	TCGA-BH-A8FY	0.0748			
brca	NM_003183	TCGA-BH-A8FZ	0.0870			
