

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_001042669	TCGA-A7-A2KD	0.7622		259.1579	
brca	NM_001042669	TCGA-A7-A3IY	0.3391		462.8223	
brca	NM_001042669	TCGA-A7-A3IZ	0.9093		112.6904	
brca	NM_001042669	TCGA-A7-A3J0	0.9062		736.6383	
brca	NM_001042669	TCGA-A7-A3J1	0.8437		302.1802	
brca	NM_001042669	TCGA-A7-A3RF	0.8680		84.7011	
brca	NM_001042669	TCGA-A7-A425	0.7916		183.7101	
brca	NM_001042669	TCGA-A7-A426	0.7512		259.5674	
brca	NM_001042669	TCGA-A7-A4SA	0.7518		146.7384	
brca	NM_001042669	TCGA-A7-A4SB	0.9011		102.6912	
brca	NM_001042669	TCGA-A7-A4SC	0.8227		197.0906	
brca	NM_001042669	TCGA-A7-A4SD	0.4531		144.7761	
brca	NM_001042669	TCGA-A7-A4SE	0.5244		143.1232	
brca	NM_001042669	TCGA-A7-A4SF	0.4755		48.5056	
brca	NM_001042669	TCGA-A7-A5ZV	0.2950		84.9176	
brca	NM_001042669	TCGA-A7-A5ZW	0.7429		228.2524	
brca	NM_001042669	TCGA-A7-A5ZX	0.6619		256.9821	
brca	NM_001042669	TCGA-A7-A6VV	0.4551		165.8108	
brca	NM_001042669	TCGA-A7-A6VW	0.8691		37.4016	
brca	NM_001042669	TCGA-A7-A6VX	0.7496		460.7494	
brca	NM_001042669	TCGA-A7-A6VY	0.3347		156.0014	
brca	NM_001042669	TCGA-A8-A075	0.6567		128.7200	
brca	NM_001042669	TCGA-A8-A08O	0.7609		194.1060	
brca	NM_001042669	TCGA-A8-A0A6	0.8449		153.2119	
brca	NM_001042669	TCGA-A8-A0AD	0.2794		307.1895	
brca	NM_001042669	TCGA-AC-A23C	0.7582		191.6078	
brca	NM_001042669	TCGA-AC-A23E	0.7697		322.8371	
brca	NM_001042669	TCGA-AC-A23G	0.6219		334.3023	
brca	NM_001042669	TCGA-AC-A23H	0.7992	0.3702	105.6312	473.3876
brca	NM_001042669	TCGA-AC-A2B8	0.8093		283.1948	
brca	NM_001042669	TCGA-AC-A2BK	0.8522		24.3044	
brca	NM_001042669	TCGA-AC-A2BM	0.8916		82.4564	
brca	NM_001042669	TCGA-AC-A2FB	0.8617	0.2491	261.6095	466.3589
brca	NM_001042669	TCGA-AC-A2FE	0.8790		176.6845	
brca	NM_001042669	TCGA-AC-A2FF	0.5640	0.5366	455.0725	258.7698
brca	NM_001042669	TCGA-AC-A2FG	0.7893	0.5082	197.4605	
brca	NM_001042669	TCGA-AC-A2FK	0.4932		346.8208	
