index	FACS.selection	age	batch	cell	cell_ontology_class	cell_ontology_id	cellid	free_annotation	mouse.id	plate	sex	well	Expressed Genes	UMI Count	Louvain Cluster	leiden	cluster_names
E4_B000836_S40_L003.mus-0-0	Multiple	24m	0	nan	bladder cell	CL:1001319	E4_B000836	bladder mesenchymal cell (Scara5+)	24_60_M	B000836	male	E4	3588	5226.1284	1	1	1_bladder cell
G13_B000836_S97_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	G13_B000836	luminal bladder epithelial cell (umbrella cell)	24_60_M	B000836	male	G13	4249	5000.5464	0	2	0_bladder urothelial cell
H15_B000836_S123_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	H15_B000836	basal bladder epithelial cell (Krt5+)	24_60_M	B000836	male	H15	3347	5055.26	0	0	0_bladder urothelial cell
N10_B000836_S262_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	N10_B000836	luminal bladder epithelial cell (umbrella cell)	24_60_M	B000836	male	N10	3314	5045.6357	0	2	0_bladder urothelial cell
O16_B000836_S292_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	O16_B000836	basal bladder epithelial cell (Krt5+)	24_60_M	B000836	male	O16	4168	5039.379	0	0	0_bladder urothelial cell
P18_B000836_S18_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	P18_B000836	basal bladder epithelial cell (Krt5+)	24_60_M	B000836	male	P18	3340	5185.731	0	0	0_bladder urothelial cell
A10_B001380_S10_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A10_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	A10	4154	5276.951	0	2	0_bladder urothelial cell
A10_B001382_S202_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A10_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	A10	4210	5294.867	0	2	0_bladder urothelial cell
A11_B001380_S11_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A11_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	A11	4201	5080.9253	0	2	0_bladder urothelial cell
A11_B001382_S203_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A11_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	A11	4186	5308.747	0	2	0_bladder urothelial cell
A12_B001380_S12_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A12_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	A12	3829	5328.4624	0	2	0_bladder urothelial cell
A13_B001380_S13_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A13_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	A13	3714	5329.3335	0	2	0_bladder urothelial cell
A14_B001380_S14_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A14_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	A14	3009	5127.987	0	0	0_bladder urothelial cell
A14_B001382_S206_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A14_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	A14	3706	5438.947	0	2	0_bladder urothelial cell
A15_B001382_S207_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A15_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	A15	3606	5249.232	0	0	0_bladder urothelial cell
A16_B001380_S16_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A16_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	A16	3898	5448.3496	0	0	0_bladder urothelial cell
A17_B001380_S17_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A17_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	A17	3410	5397.885	0	0	0_bladder urothelial cell
A19_B001380_S19_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A19_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	A19	3475	5484.6406	0	0	0_bladder urothelial cell
A1_B001380_S1_L001.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	A1_B001380	bladder mesenchymal cell (Car3+)	24_58_M	B001380	male	A1	3580	5658.144	3	9	3_bladder cell
A1_B001382_S193_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	A1_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	A1	4048	5732.108	1	1	1_bladder cell
A20_B001382_S212_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A20_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	A20	3393	5262.3535	0	0	0_bladder urothelial cell
A21_B001382_S213_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A21_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	A21	3429	5015.9336	0	0	0_bladder urothelial cell
A22_B001380_S22_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A22_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	A22	3550	5199.7676	0	0	0_bladder urothelial cell
A2_B001380_S2_L001.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	A2_B001380	bladder mesenchymal cell (Car3+)	24_58_M	B001380	male	A2	3716	5599.7437	3	9	3_bladder cell
A2_B001382_S194_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	A2_B001382	bladder mesenchymal cell (Car3+)	24_59_M	B001382	male	A2	3242	5018.832	3	9	3_bladder cell
A5_B001382_S197_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	A5_B001382	bladder mesenchymal cell (Car3+)	24_59_M	B001382	male	A5	3286	5030.9634	3	9	3_bladder cell
A6_B001382_S198_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	A6_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	A6	3023	5094.7266	1	1	1_bladder cell
A8_B001382_S200_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A8_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	A8	4167	5329.5576	0	0	0_bladder urothelial cell
B10_B001380_S34_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B10_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B10	4318	5610.0728	0	2	0_bladder urothelial cell
B10_B001382_S226_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B10_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B10	4357	5740.565	0	0	0_bladder urothelial cell
B12_B001380_S36_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B12_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B12	3712	5394.608	0	2	0_bladder urothelial cell
B12_B001382_S228_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B12_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	B12	4254	5567.139	0	2	0_bladder urothelial cell
B13_B001380_S37_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B13_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B13	2785	5134.8345	0	2	0_bladder urothelial cell
B15_B001380_S39_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B15_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	B15	3074	5057.8496	0	0	0_bladder urothelial cell
B15_B001382_S231_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B15_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B15	4019	5478.369	0	0	0_bladder urothelial cell
B16_B001382_S232_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B16_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B16	3720	5368.1753	0	0	0_bladder urothelial cell
B17_B001382_S233_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B17_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B17	3722	5407.1387	0	0	0_bladder urothelial cell
B18_B001380_S42_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B18_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B18	4047	5370.1577	0	2	0_bladder urothelial cell
B18_B001382_S234_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B18_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B18	3525	5259.876	0	0	0_bladder urothelial cell
B19_B001380_S43_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B19_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	B19	3553	5085.9053	0	0	0_bladder urothelial cell
B19_B001382_S235_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B19_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	B19	3956	5231.301	0	2	0_bladder urothelial cell
B1_B001380_S25_L001.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	B1_B001380	bladder mesenchymal cell (Car3+)	24_58_M	B001380	male	B1	3385	5320.2573	3	9	3_bladder cell
B20_B001380_S44_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B20_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	B20	3364	5314.369	0	0	0_bladder urothelial cell
B21_B001380_S45_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B21_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B21	3913	5443.865	0	2	0_bladder urothelial cell
B21_B001382_S237_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B21_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B21	3221	5149.5444	0	0	0_bladder urothelial cell
B22_B001380_S46_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B22_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B22	3920	5850.9775	0	2	0_bladder urothelial cell
B2_B001382_S218_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	B2_B001382	bladder mesenchymal cell (Car3+)	24_59_M	B001382	male	B2	3601	5156.436	3	9	3_bladder cell
B4_B001382_S220_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	B4_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	B4	3225	5298.693	1	1	1_bladder cell
B6_B001380_S30_L001.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	B6_B001380	bladder mesenchymal cell (Car3+)	24_58_M	B001380	male	B6	2553	5026.7334	3	9	3_bladder cell
B6_B001382_S222_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	B6_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	B6	3634	5332.8	1	1	1_bladder cell
B8_B001380_S32_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B8_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B8	4319	5933.5547	0	2	0_bladder urothelial cell
B8_B001382_S224_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B8_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	B8	4309	5716.4023	0	2	0_bladder urothelial cell
B9_B001380_S33_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B9_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	B9	4297	5691.129	0	2	0_bladder urothelial cell
B9_B001382_S225_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	B9_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	B9	3793	5405.696	0	0	0_bladder urothelial cell
C10_B001380_S58_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C10_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	C10	4198	5519.2666	0	2	0_bladder urothelial cell
C10_B001382_S250_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C10_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	C10	4356	5371.633	0	2	0_bladder urothelial cell
C11_B001380_S59_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C11_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	C11	4731	5923.257	0	2	0_bladder urothelial cell
C11_B001382_S251_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C11_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	C11	5348	5217.4243	0	2	0_bladder urothelial cell
C12_B001382_S252_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C12_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	C12	3264	5025.172	0	2	0_bladder urothelial cell
C14_B001380_S62_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C14_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	C14	3896	5370.4053	0	2	0_bladder urothelial cell
C15_B001380_S63_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C15_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	C15	3543	5399.102	0	0	0_bladder urothelial cell
C16_B001382_S256_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C16_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	C16	3762	5345.7114	0	0	0_bladder urothelial cell
C17_B001380_S65_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C17_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	C17	3356	5109.7383	0	0	0_bladder urothelial cell
C18_B001382_S258_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C18_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	C18	3068	5063.8687	0	6	0_bladder urothelial cell
C19_B001380_S67_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C19_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	C19	3443	5173.3726	0	0	0_bladder urothelial cell
C19_B001382_S259_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C19_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	C19	3257	5128.0273	0	0	0_bladder urothelial cell
C20_B001382_S260_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C20_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	C20	3231	5006.3994	0	0	0_bladder urothelial cell
C21_B001380_S69_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C21_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	C21	3487	5541.9126	0	0	0_bladder urothelial cell
C22_B001380_S70_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C22_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	C22	3368	5104.4854	0	0	0_bladder urothelial cell
C4_B001380_S52_L001.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	C4_B001380	bladder mesenchymal cell (Scara5+)	24_58_M	B001380	male	C4	3087	5506.0933	1	1	1_bladder cell
C7_B001380_S55_L001.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	C7_B001380	bladder mesenchymal cell (Scara5+)	24_58_M	B001380	male	C7	3388	5742.779	1	1	1_bladder cell
C7_B001382_S247_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	C7_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	C7	3568	5891.623	1	1	1_bladder cell
C8_B001382_S248_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C8_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	C8	4502	5318.1064	0	2	0_bladder urothelial cell
C9_B001380_S57_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C9_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	C9	4116	5545.5977	0	2	0_bladder urothelial cell
C9_B001382_S249_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	C9_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	C9	4880	5530.4155	0	2	0_bladder urothelial cell
D10_B001380_S82_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D10_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	D10	3691	5397.4375	0	2	0_bladder urothelial cell
D10_B001382_S274_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D10_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	D10	3481	5532.84	0	2	0_bladder urothelial cell
D11_B001380_S83_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D11_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	D11	4330	5468.948	0	2	0_bladder urothelial cell
D11_B001382_S275_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D11_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	D11	2991	5155.4014	0	2	0_bladder urothelial cell
D12_B001380_S84_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D12_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	D12	3984	5317.45	0	2	0_bladder urothelial cell
D12_B001382_S276_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D12_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	D12	4404	5686.528	0	2	0_bladder urothelial cell
D13_B001380_S85_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D13_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	D13	4664	5339.8164	0	2	0_bladder urothelial cell
D13_B001382_S277_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D13_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	D13	3786	5508.8594	0	2	0_bladder urothelial cell
D15_B001380_S87_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D15_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	D15	3546	5103.6	0	0	0_bladder urothelial cell
D16_B001380_S88_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D16_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	D16	3785	5514.5703	0	0	0_bladder urothelial cell
D16_B001382_S280_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D16_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	D16	3914	5257.09	0	0	0_bladder urothelial cell
D17_B001380_S89_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D17_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	D17	3600	5323.1245	0	0	0_bladder urothelial cell
D17_B001382_S281_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D17_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	D17	3287	5199.4727	0	0	0_bladder urothelial cell
D18_B001380_S90_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D18_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	D18	3532	5225.1636	0	0	0_bladder urothelial cell
D18_B001382_S282_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D18_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	D18	3621	5217.066	0	0	0_bladder urothelial cell
D20_B001382_S284_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D20_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	D20	3572	5434.1025	0	0	0_bladder urothelial cell
D21_B001380_S93_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D21_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	D21	2972	5112.141	0	0	0_bladder urothelial cell
D2_B001382_S266_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	D2_B001382	bladder mesenchymal cell (Car3+)	24_59_M	B001382	male	D2	3788	5327.225	3	9	3_bladder cell
D5_B001382_S269_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	D5_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	D5	4521	5607.3423	1	1	1_bladder cell
D7_B001382_S271_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	D7_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	D7	3110	5107.9585	1	1	1_bladder cell
D8_B001380_S80_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D8_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	D8	4430	5800.1943	0	2	0_bladder urothelial cell
D8_B001382_S272_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D8_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	D8	3564	5377.789	0	2	0_bladder urothelial cell
D9_B001380_S81_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D9_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	D9	3344	5379.8945	0	2	0_bladder urothelial cell
D9_B001382_S273_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	D9_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	D9	4512	5711.5737	0	2	0_bladder urothelial cell
E10_B001380_S106_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E10_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	E10	4926	5737.02	0	2	0_bladder urothelial cell
E11_B001380_S107_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E11_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	E11	4504	5426.005	0	2	0_bladder urothelial cell
E11_B001382_S299_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E11_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	E11	4246	5681.085	0	2	0_bladder urothelial cell
E12_B001380_S108_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E12_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	E12	4010	5694.459	0	2	0_bladder urothelial cell
E12_B001382_S300_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E12_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	E12	3826	5202.15	0	2	0_bladder urothelial cell
E13_B001380_S109_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E13_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	E13	4184	5330.9946	0	2	0_bladder urothelial cell
E13_B001382_S1_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E13_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	E13	3395	5708.2866	0	2	0_bladder urothelial cell
E14_B001382_S2_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E14_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	E14	3673	5620.107	6	6	6_bladder urothelial cell
E15_B001380_S111_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E15_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	E15	3467	5612.3813	0	0	0_bladder urothelial cell
E15_B001382_S3_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E15_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	E15	3245	5329.534	0	0	0_bladder urothelial cell
E16_B001382_S4_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E16_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	E16	3792	5022.807	0	0	0_bladder urothelial cell
E17_B001380_S113_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E17_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	E17	3641	5223.149	0	0	0_bladder urothelial cell
E17_B001382_S5_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E17_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	E17	3789	5146.8755	0	0	0_bladder urothelial cell
E18_B001380_S114_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E18_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	E18	4411	5270.4946	0	0	0_bladder urothelial cell
E19_B001382_S7_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E19_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	E19	3665	5215.326	0	0	0_bladder urothelial cell
E20_B001380_S116_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E20_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	E20	3992	5383.1294	0	2	0_bladder urothelial cell
E20_B001382_S8_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E20_B001382	basal bladder epithelial cell (Krt5+)	24_59_M	B001382	male	E20	3402	5008.097	0	0	0_bladder urothelial cell
E21_B001380_S117_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E21_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	E21	3622	5341.207	0	0	0_bladder urothelial cell
E22_B001380_S118_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	E22_B001380	basal bladder epithelial cell (Krt5+)	24_58_M	B001380	male	E22	3739	5016.158	0	0	0_bladder urothelial cell
E2_B001382_S290_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	E2_B001382	bladder mesenchymal cell (Car3+)	24_59_M	B001382	male	E2	3890	5625.397	3	10	3_bladder cell
E3_B001382_S291_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	E3_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	E3	3596	5464.5474	1	1	1_bladder cell
E5_B001382_S293_L004.mus-4-0	Multiple	24m	0	nan	bladder cell	CL:1001319	E5_B001382	bladder mesenchymal cell (Scara5+)	24_59_M	B001382	male	E5	3373	5417.125	1	1	1_bladder cell
