index	FACS.selection	age	batch	cell	cell_ontology_class	cell_ontology_id	cellid	free_annotation	mouse.id	plate	sex	well	Expressed Genes	UMI Count	Louvain Cluster	leiden	cluster_names
K3.MAA000487.3_10_M.1.1-1	nan	3m	1	K3.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_10_M	nan	male	nan	4894	6036.784	1	8	1_bladder cell
K4.B000610.3_56_F.1.1-1	nan	3m	1	K4.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_56_F	nan	female	nan	3450	5939.7524	1	1	1_bladder cell
K4.D041914.3_8_M.1.1-1	nan	3m	1	K4.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	4548	6293.8257	1	9	1_bladder cell
K4.D042253.3_9_M.1.1-1	nan	3m	1	K4.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	5369	7323.106	4	4	4_bladder cell
K4.MAA000487.3_10_M.1.1-1	nan	3m	1	K4.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_10_M	nan	male	nan	4754	6049.6514	1	8	1_bladder cell
K5.B000610.3_56_F.1.1-1	nan	3m	1	K5.B000610.3_56_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_56_F	nan	female	nan	5154	6568.1084	5	3	5_bladder urothelial cell
K5.B002764.3_38_F.1.1-1	nan	3m	1	K5.B002764.3_38_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_38_F	nan	female	nan	3587	5523.358	3	9	3_bladder cell
K5.D041914.3_8_M.1.1-1	nan	3m	1	K5.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	4796	6504.899	3	10	3_bladder cell
K5.D042253.3_9_M.1.1-1	nan	3m	1	K5.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	5352	7515.5015	4	4	4_bladder cell
K5.MAA000487.3_10_M.1.1-1	nan	3m	1	K5.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_10_M	nan	male	nan	4286	5454.6597	4	4	4_bladder cell
K6.B002764.3_38_F.1.1-1	nan	3m	1	K6.B002764.3_38_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_38_F	nan	female	nan	2962	5601.5884	3	9	3_bladder cell
K6.D041914.3_8_M.1.1-1	nan	3m	1	K6.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_8_M	nan	male	nan	5179	7001.2437	1	1	1_bladder cell
K6.D042253.3_9_M.1.1-1	nan	3m	1	K6.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	4319	6167.613	4	4	4_bladder cell
K6.MAA000487.3_10_M.1.1-1	nan	3m	1	K6.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_10_M	nan	male	nan	4251	5788.464	1	8	1_bladder cell
K7.D041914.3_8_M.1.1-1	nan	3m	1	K7.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	5064	6670.417	3	10	3_bladder cell
K7.D042253.3_9_M.1.1-1	nan	3m	1	K7.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	5211	6822.075	4	4	4_bladder cell
K7.MAA000487.3_10_M.1.1-1	nan	3m	1	K7.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_10_M	nan	male	nan	5506	7042.062	1	8	1_bladder cell
K8.B000610.3_56_F.1.1-1	nan	3m	1	K8.B000610.3_56_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_56_F	nan	female	nan	4009	6176.2583	0	3	0_bladder urothelial cell
K8.B002764.3_38_F.1.1-1	nan	3m	1	K8.B002764.3_38_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_38_F	nan	female	nan	3594	6091.477	0	3	0_bladder urothelial cell
K8.D041914.3_8_M.1.1-1	nan	3m	1	K8.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_8_M	nan	male	nan	5645	6925.5796	1	1	1_bladder cell
K8.D042253.3_9_M.1.1-1	nan	3m	1	K8.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_9_M	nan	male	nan	4898	7578.555	1	1	1_bladder cell
K8.MAA000487.3_10_M.1.1-1	nan	3m	1	K8.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_10_M	nan	male	nan	6223	7161.6177	2	5	2_bladder urothelial cell
K9.B000610.3_56_F.1.1-1	nan	3m	1	K9.B000610.3_56_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_56_F	nan	female	nan	3764	6486.107	0	3	0_bladder urothelial cell
K9.B002771.3_39_F.1.1-1	nan	3m	1	K9.B002771.3_39_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_39_F	nan	female	nan	7065	7405.3154	5	3	5_bladder urothelial cell
K9.D041914.3_8_M.1.1-1	nan	3m	1	K9.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_8_M	nan	male	nan	5442	6416.101	1	1	1_bladder cell
K9.D042253.3_9_M.1.1-1	nan	3m	1	K9.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_9_M	nan	male	nan	4305	6446.5747	1	8	1_bladder cell
K9.MAA000487.3_10_M.1.1-1	nan	3m	1	K9.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_10_M	nan	male	nan	6363	7440.7275	6	6	6_bladder urothelial cell
L1.B000610.3_56_F.1.1-1	nan	3m	1	L1.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_56_F	nan	female	nan	3683	5915.937	1	1	1_bladder cell
L1.B002764.3_38_F.1.1-1	nan	3m	1	L1.B002764.3_38_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_38_F	nan	female	nan	2928	5470.622	3	9	3_bladder cell
L1.B002771.3_39_F.1.1-1	nan	3m	1	L1.B002771.3_39_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_39_F	nan	female	nan	3927	6010.5356	1	1	1_bladder cell
