genes
0610009B22Rik
0610010B08Rik
0610031O16Rik
0610039K10Rik
1110001J03Rik
1110034G24Rik
1110038B12Rik
1110038D17Rik
1110054O05Rik
1110058L19Rik
1110059G10Rik
1190005F20Rik
1190005I06Rik
1200014J11Rik
1300002K09Rik
1300018J18Rik
1500011H22Rik
1500015O10Rik
1700003M02Rik
1700011H14Rik
1700017B05Rik
1700021C14Rik
1700026L06Rik
1700034H15Rik
1700034P13Rik
1700048M11Rik
1700049E15Rik
1700067K01Rik
1700120K04Rik
1810006K21Rik
1810010D01Rik
1810012K16Rik
1810026B05Rik
1810031K17Rik
1810043H04Rik
1810049H13Rik
1810063B05Rik
2010001M06Rik
2010107H07Rik
2010321M09Rik
2210010C17Rik
2210016F16Rik
2210020M01Rik
2300005B03Rik
2300009A05Rik
2310001A20Rik
2310001H17Rik
2310002J15Rik
2310007L24Rik
2310008H09Rik
2310015B20Rik
2310022A10Rik
2310039H08Rik
2310040G24Rik
2310046O06Rik
2310047M10Rik
2310067B10Rik
2310079F23Rik
2410127L17Rik
2510012J08Rik
2610002D18Rik
2610017I09Rik
2610305D13Rik
2610507I01Rik
2700081L22Rik
2700086A05Rik
2810001G20Rik
2810008D09Rik
2810013P06Rik
2810025M15Rik
2810405F15Rik
2810408M09Rik
2810417H13Rik
2810422O20Rik
2900053A13Rik
2900056M20Rik
3110035E14Rik
3110062M04Rik
3830406C13Rik
4732416N19Rik
4732418C07Rik
4833417C18Rik
4833420G17Rik
4930404N11Rik
4930441O14Rik
4930447N08Rik
4930455C21Rik
4930455H04Rik
4930483K19Rik
4930503E24Rik
4930558K02Rik
4930565N06Rik
4930578M01Rik
4930579G18Rik
4931403E22Rik
4931440F15Rik
4933406I18Rik
4933417G07Rik
4933421E11Rik
4933424G06Rik
5031414D18Rik
5031439G07Rik
5330417C22Rik
5730403I07Rik
5730422E09Rik
5830428M24Rik
5930403L14Rik
6030419C18Rik
6330407A03Rik
9030418K01Rik
9030624J02Rik
9130017N09Rik
9130206I24Rik
9930111J21Rik1
9930111J21Rik2
A130022J15Rik
A230028O05Rik
A230057D06Rik
A230072E10Rik
A230108P19Rik
A330050B17Rik
A330076H08Rik
A330102I10Rik
A430035B10Rik
A630055G03Rik
A630072M18Rik
A630095N17Rik
A830007P12Rik
A930005H10Rik
AA987161
AI414108
AI462493
AI504432
AI506816
AI607873
AI848285
AW112010
Aacs
Aass
Aatf
Abca13
Abca2
Abca8a
Abca9
Abcb1a
Abcb4
Abcc8
Abcd1
Abcd2
Abhd11
Abhd8
Abp1
Abr
Abtb2
Ace
Ace2
Acer1
Acer3
Acot10
Acot13
Acoxl
Acpp
Acsl1
Acsl6
Acss2
Actn1
Actn2
Ada
Adam11
Adap1
Adarb1
Adcy4
Adcy5
Adcy7
Adcy8
Ado
Adora2a
Adra2a
Adra2b
Afg3l2
Afm
Afmid
Agap1
Agap2
Agpat5
Agps
Agtpbp1
Ahctf1
Aim2
Ajap1
Ak4
Akap10
Akap5
Akr1c12
Akr1c13
Akr1c21
Aldh1l1
Aldh7a1
Aldh8a1
Alg8
Alkbh7
Alms1-ps2
Alox5
Alpk3
Als2cr12
Amotl2
Ampd2
Amy1
Amz1
Angptl1
Angptl3
Ank1
Ank2
Ankrd37
Ankrd45
Ankrd54
Anks1b
Ano4
Anxa13
Ap1ar
Ap2a1
Ap2b1
Ap3s2
Apba1
Apbb1
Apbb2
Api5
Apln
Aplnr
Apobec1
Apobec2
Apobr
Apom
Aqp1
Aqp11
Arf2
Arfgap2
Arhgap11a
Arhgap15
Arhgap19
Arhgap25
Arhgap4
Arhgef3
Arhgef37
Arid1b
Arl11
Arl4c
Arl8a
Armc4
Armc7
Arntl
Arrb2
Arrdc3
Art3
Asb10
Asb8
Asf1b
Asgr1
Aspdh
Aspn
Asrgl1
Asxl2
Atad1
Atcay
Atf6b
Atg16l2
Atg5
Atg9b
Atl2
Atp11b
Atp2b2
Atp2c1
Atp2c2
Atp6v0a2
Atp6v0e2
Atp6v1g2
Atp8a1
Atxn7l3
Aurkb
Avl9
B3galt2
B3gnt5
B3gnt7
B4galnt4
B4galt4
B930003M22Rik
BC021891
BC024386
BC030870
BC037034
BC037704
BC049635
BC051142
BC051628
Baalc
Bai1
Bambi-ps1
Barx2
Batf3
Baz2b
Bbs9
Bcas1
Bcl11b
Bcl2
Bcl2a1a
Bcl2a1b
Bcl2l12
Bcl6b
Bco2
Bcr
Bdh1
Best2
Best3
Bex2
Bhlha15
Bhmt2
Birc2
Birc5
Bptf
Brcc3
Brd1
Brd7
Brip1
Bsn
Bves
C030016D13Rik
C130026I21Rik
C130050O18Rik
C130083M11Rik
C1galt1c1
C1qtnf9
C1rb
C2cd3
C2cd4b
C3ar1
C430048L16Rik
C4bp-ps1
C87436
C920021L13Rik
Cables1
Cacna1c
Cacna2d2
Cacng4
Cacng5
Calhm2
Camk2a
Camk2b
Camk2n2
Camk4
Camkk2
Caml
Camta2
Cand1
Capn11
Capn3
Car7
Car8
Car9
Card6
Card9
Casc3
Casc5
Casd1
Caskin2
Casp1
Casp14
Casp9
Casq2
Cbfb
Cbll1
Cbln3
Cbs
Cbx2
Ccdc117
Ccdc13
Ccdc141
Ccdc146
Ccdc150
Ccdc22
Ccdc27
Ccdc28b
Ccdc34
Ccdc78
Ccdc85a
Ccdc88c
Ccdc92
Ccdc97
Ccl7
Ccna2
Ccnb2
Ccnh
Ccrl1
Ccz1
Cd101
Cd109
Cd160
Cd1d1
Cd274
Cd28
Cd59a
Cd93
Cdc20
Cdc40
Cdc42se2
Cdca3
Cdca5
Cdca7
Cdca8
Cdh15
Cdh23
Cdh3
Cdh5
Cdk1
Cdk12
Cdk2
Cdkn1c
Cdkn2c
Cdon
Cdyl
Cebpz
Celf5
Cenpa
Cenph
Cep110
Cep152
Cep68
Ces1g
Ces2a
Ces2c
Cetn2
Chchd4
Chd5
Chd7
Chdh
Chl1
Chrm4
Chrna1
Chrna10
Chrna9
Chrnb2
Chsy1
Cib2
Cideb
Cilp
Cir1
Cisd3
Cit
Cited2
Ciz1
Cklf
Clca3
Clcn2
Clcn3
Cldn11
Cldn15
Cldn3
Clec1a
Clec4a1
Clic3
Clic5
Clic6
Cln3
Cln8
Clspn
Cmah
Cmklr1
Cml1
Cmtm5
Cnksr2
Cnn1
Cnnm1
Cnot6l
Cnr1
Cnst
Coasy
Cog2
Cog8
Col11a2
Col13a1
Col22a1
Col27a1
Col5a3
Col8a2
Col9a2
Col9a3
Commd2
Commd9
Cox4i2
Cox7a1
Cpa2
Cpa3
Cpb1
Cpb2
Cplx2
Cpm
Cpsf2
Cpsf3l
Cpt1b
Cradd
Crbn
Creb3l4
Crispld1
Crmp1
Crnkl1
Crygn
Csf2rb
Csgalnact1
Csmd3
Cspg4
Cst6
Cstf2
Cstf2t
Ctcfl
Ctla2a
Ctla2b
Ctr9
Ctrl
Ctsw
Cttnbp2
Cubn
Cul4a
Cwf19l1
Cwh43
Cxcl1
Cxcl2
Cxcl5
Cxx1a
Cxx1b
Cxxc1
Cyfip2
Cyld
Cyp2b10
Cyp4a32
Cyp4f40
Cysltr1
D030025P21Rik
D0H4S114
D10Jhu81e
D17H6S53E
D1Ertd622e
D330050G23Rik
D5Ertd605e
D6Wsu116e
D730005E14Rik
D930015E06Rik
Dapk2
Daxx
Dbndd1
Dcaf17
Dcaf8
Dck
Dclk2
Ddah1
Ddb1
Ddo
Ddx18
Ddx20
Ddx23
Ddx26b
Deb1
Dennd4a
Dennd4b
Derl3
Dgkd
Dgkk
Dgkz
Dhcr7
Dhdds
Dhx57
Dido1
Dip2a
Dis3l
Dkkl1
Dlat
Dlc1
Dll4
Dlx5
Dmgdh
Dna2
Dnajb5
Dnajc14
Dnajc19
Dnajc6
Dnase1
Dnase1l3
Dnm3
Dnmt1
Dnmt3b
Dock11
Dock4
Dok1
Dok7
Dolpp1
Donson
Dopey2
Dpf3
Dph5
Dpm3
Dpp9
Dpt
Dpy19l1
Dpy30
Dpysl5
Drp2
Dscaml1
Dscc1
Dsg3
Dtd1
Dtx3l
Dus1l
Dusp11
Dusp22
Dut
Dync1i1
Dync1li2
Dynlt1a
E030018B13Rik
E130102H24Rik
E130201H02Rik
E130215H24Rik
E230008N13Rik
E2f1
E2f4
E2f8
Ebf1
Ebf3
Ecd
Ecscr
Edaradd
Edn1
Eefsec
Efcab4a
Efcab5
Efr3b
Egf
Ehd3
Ehmt1
Ehmt2
Eif4ebp3
Elavl3
Elk3
Elmo1
Eltd1
Emb
Emilin2
Emr4
Endou
Engase
Eno3
Entpd4
Eomes
Ep300
Epas1
Epha4
Ephb1
Epor
Eppk1
Eps15l1
Ercc2
Ero1lb
Esam
Espl1
Espnl
Esrrg
Etaa1
Etnk1
Etv5
Evl
Extl1
Ezh2
F930015N05Rik
Fabp12
Fabp3
Faim2
Fam111a
Fam113b
Fam116a
Fam123a
Fam125b
Fam13c
Fam150b
Fam167b
Fam168b
Fam178a
Fam181b
Fam183b
Fam186b
Fam189b
Fam195a
Fam198b
Fam20c
Fam25c
Fam26f
Fam3b
Fam40a
Fam40b
Fam43a
Fam46a
Fam48a
Fam53a
Fam53b
Fam55b
Fam55c
Fam55d
Fam59b
Fam69a
Fam73a
Fam83e
Fam89a
Fam96b
Fanca
Fap
Fas
Fat3
Fbln7
Fbn2
Fbrsl1
Fbxl12
Fbxl14
Fbxl15
Fbxl16
Fbxl6
Fbxo18
Fbxo28
Fbxo46
Fbxo5
Fbxo8
Fbxw11
Fbxw4
Fcgr4
Fcho1
Fchsd2
Fcna
Fdx1l
Fermt1
Fetub
Fgd3
Fgf11
Fgf13
Fgfbp1
Fgfr3
Fgfr4
Fgl2
Fhad1
Fibin
Fignl1
Fignl2
Fkrp
Flt1
Fmnl3
Folr1
Foxs1
Fpr1
Frat1
Frat2
Frmd4a
Fsip1
Fst
Ftcd
Fut2
Fut8
Fut9
Fxc1
Fzd9
G0s2
G530011O06Rik
G6pd2
Gab1
Gabpb1
Gabrb3
Gak
Gal
Gal3st2
Gal3st4
Galnt10
Galnt12
Galnt7
Galntl6
Gatad2b
Gba2
Gbp4
Gcn1l1
Gcnt1
Gcnt3
Gcnt4
Gdf10
Gdi1
Gen1
Gfer
Gfm2
